,Team,Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,Points Scored,Ranking,Record,Points,Predicted Points Scored,Offensive Efficiency
0,Gonzaga,2024-11-04,Baylor,W 101-63,0,40,71,13,31,8,13,101,17,29,46,24,11,8,3,18,101,13,7-3,737,94.66757088825725,111.48186761184303
1,Gonzaga,2024-11-10,Arizona St.,W 88-80,0,31,62,8,24,18,22,88,10,28,38,22,8,8,1,10,88,13,7-3,737,94.16711854427655,110.89252786820951
2,Gonzaga,2024-11-15,UMass Lowell,W 113-54,0,41,76,10,22,21,27,0,14,32,46,21,9,16,7,20,113,13,7-3,737,96.59453289165732,113.75108526410187
3,Gonzaga,2024-11-18,@ San Diego St.,W 80-67,0,24,57,5,20,27,31,80,12,27,39,14,8,6,2,21,80,13,7-3,737,84.83570204385775,99.90372009412418
4,Gonzaga,2024-11-20,Long Beach St.,W 84-41,0,29,63,9,27,17,24,84,15,29,44,14,4,7,2,15,84,13,7-3,737,85.38038870572895,100.54515079482671
5,Gonzaga,2024-11-27,"West Virginia
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",L 78-86 (1 OT),0,26,65,7,21,19,22,78,11,25,36,20,13,7,3,18,78,13,7-3,737,88.64502492371629,104.38963248205715
6,Gonzaga,2024-11-28,"Indiana
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 89-73,0,31,64,6,20,21,22,89,13,29,42,20,13,9,2,22,89,13,7-3,737,88.24130210515379,103.91420279279227
7,Gonzaga,2024-11-29,"Davidson
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 90-65,0,35,64,6,16,14,15,90,8,32,40,24,9,7,3,16,90,13,7-3,737,90.52491059519123,106.60341238140771
8,Gonzaga,2024-12-07,"Kentucky
@Seattle, WA",L 89-90 (1 OT),0,33,71,6,27,17,24,89,15,27,42,17,6,2,2,15,89,13,7-3,737,90.52652797663278,106.60531703262093
9,Gonzaga,2024-12-14,"UConn
@New York City, NY (2024-25 MBB Hall of Fame Series - NYC)",L 71-77,0,25,57,6,16,15,19,71,8,26,34,13,10,4,3,17,71,13,7-3,737,74.07959361182884,87.23717499333704
10,Auburn,2024-11-06,Vermont,W 94-43,0,36,64,16,35,6,11,94,8,35,43,15,9,10,7,15,94,2,9-1,1483,80.00141884715958,94.21079997083713
11,Auburn,2024-11-09,"Houston
@Houston, TX (2024-25 MBB The Battleground 2k)",W 74-69,0,27,51,7,23,13,19,74,11,22,33,14,12,6,7,21,74,2,9-1,1483,76.4106453105151,89.98225437406863
12,Auburn,2024-11-13,Kent St.,W 79-56,0,28,57,6,24,17,22,79,11,30,41,23,6,3,6,12,79,2,9-1,1483,95.81299292615824,112.83073277011029
13,Auburn,2024-11-18,North Ala.,W 102-69,0,39,63,12,27,12,17,102,8,27,35,25,11,6,6,12,102,2,9-1,1483,95.92893677516682,112.96726988312903
14,Auburn,2024-11-25,"Iowa St.
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 83-81,0,28,59,9,27,18,22,83,10,25,35,14,12,7,4,23,83,2,9-1,1483,80.5507931500045,94.85775090371146
15,Auburn,2024-11-26,"North Carolina
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 85-72,0,30,69,11,30,14,17,85,11,31,42,15,8,7,7,22,85,2,9-1,1483,83.07817947467794,97.83403671106366
16,Auburn,2024-11-27,"Memphis
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 90-76,0,34,60,8,24,14,17,90,11,21,32,23,9,6,5,17,90,2,9-1,1483,92.19829418421706,108.57401251390513
17,Auburn,2024-12-04,@ Duke,L 78-84,0,29,64,10,25,10,12,78,15,24,39,17,8,4,3,20,78,2,9-1,1483,81.12445370919521,95.53330167483375
18,Auburn,2024-12-08,Richmond,W 98-54,0,33,69,13,30,19,27,98,15,34,49,23,7,10,5,14,98,2,9-1,1483,102.10651390085455,120.2420718963842
19,Auburn,2024-12-14,"Ohio St.
@Atlanta, GA (2024-25 MBB Holiday Hoopsgiving)",W 91-53,0,33,72,13,30,12,14,91,16,33,49,18,5,4,13,17,91,2,9-1,1483,87.7469559820617,103.3320538210601
20,Auburn,2024-12-17,Georgia St.,W 100-59,0,35,61,9,25,21,26,100,10,24,34,19,11,11,9,20,100,2,9-1,1483,90.83141819001592,106.96436005110766
21,Iowa St.,2024-11-04,Mississippi Val.,W 83-44,0,28,59,5,21,22,29,83,11,27,38,16,12,16,6,12,83,3,9-1,1416,85.93228113348393,101.19506710713584
22,Iowa St.,2024-11-11,Kansas City,W 82-56,0,30,62,10,25,12,19,82,13,26,39,21,7,5,2,13,82,3,9-1,1416,91.59831537025443,107.86746899450878
23,Iowa St.,2024-11-18,IU Indy,W 87-52,0,31,62,7,25,18,24,87,11,29,40,19,9,8,4,10,87,3,9-1,1416,90.56555799654369,106.65127933493596
24,Iowa St.,2024-11-25,"Auburn
@Lahaina, HI (2024-25 MBB Maui Invitational)",L 81-83,0,25,53,7,18,24,29,81,5,22,27,12,9,9,0,18,81,3,9-1,1416,78.71747569405782,92.69881039222868
25,Iowa St.,2024-11-26,"Dayton
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 89-84,0,30,58,4,17,25,29,89,8,17,25,11,7,7,2,21,89,3,9-1,1416,78.340813147933,92.25524726171388
26,Iowa St.,2024-11-27,"Colorado
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 99-71,0,35,58,11,25,18,23,99,7,24,31,18,10,13,0,19,99,3,9-1,1416,87.34609175175626,102.85999044567274
27,Iowa St.,2024-12-04,Marquette,W 81-70,0,30,59,6,15,15,21,81,11,29,40,16,12,6,6,14,81,3,9-1,1416,79.31858489116225,93.40668506676697
28,Iowa St.,2024-12-08,Jackson St.,W 100-58,0,34,67,11,28,21,29,100,15,27,42,26,7,16,2,14,100,3,9-1,1416,107.11160609164499,126.13613910190476
29,Iowa St.,2024-12-12,@ Iowa,W 89-80,0,31,70,11,28,16,22,89,18,28,46,16,9,7,3,15,89,3,9-1,1416,86.9288986121655,102.36869791624545
30,Iowa St.,2024-12-15,Omaha,W 83-51,0,32,60,6,20,13,18,83,12,27,39,19,12,11,4,10,83,3,9-1,1416,84.08622416297351,99.02112436349785
31,Oklahoma,2024-11-04,Lindenwood,W 93-60,0,34,65,14,34,11,17,93,11,32,43,23,12,9,4,16,93,14,10-0,732,95.00163937422545,111.87527137594675
32,Oklahoma,2024-11-11,Northwestern St.,W 73-57,0,25,58,6,21,17,22,73,10,22,32,10,9,16,1,14,73,14,10-0,732,73.25299230642645,86.26375762948157
33,Oklahoma,2024-11-16,Stetson,W 85-64,0,34,69,9,24,8,10,85,15,20,35,21,11,12,0,12,85,14,10-0,732,85.57076936245973,100.7693457432169
34,Oklahoma,2024-11-21,East Texas A&M,W 84-56,0,28,59,10,32,18,22,84,9,29,38,16,10,10,1,15,84,14,10-0,732,86.03106483514253,101.31139618843773
35,Oklahoma,2024-11-27,"Providence
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 79-77,0,25,49,7,19,22,29,79,5,20,25,11,13,12,2,20,79,14,10-0,732,75.41452989627604,88.80921480313263
36,Oklahoma,2024-11-28,"Arizona
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 82-77,0,25,58,12,29,20,21,82,15,23,38,17,17,7,4,18,82,14,10-0,732,83.52065497925076,98.35510211032796
