Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
Gonzaga (5-1),11/04/2024,Baylor,W 101-63,200:00,40,71,13,31,8,13,101,17,29,46,24,11,8,3,18,
Gonzaga (5-1),11/10/2024,Arizona St.,W 88-80,200:00,31,62,8,24,18,22,88,10,28,38,22,8,8,1,10,
Gonzaga (5-1),11/15/2024,UMass Lowell,W 113-54,200:00,41,76,10,22,21,27,113/,14,32,46,21,9,16,7,20,
Gonzaga (5-1),11/18/2024,@ San Diego St.,W 80-67,200:00,24,57,5,20,27,31,80,12,27,39,14,8,6,2,21,
Gonzaga (5-1),11/20/2024,Long Beach St.,W 84-41,200:00,29,63,9,27,17,24,84,15,29,44,14,4,7,2,15,
Gonzaga (5-1),11/27/2024,"West Virginia
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",L 78-86 (1 OT),225:00,26,65,7,21,19,22,78,11,25,36,20,13,7,3,18,
Gonzaga (5-1),11/28/2024,"Indiana
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 89-73,200:00,31,64,6,20,21,22,89,13,29,42,20,13,9,2,22,
Gonzaga (5-1),11/29/2024,"Davidson
@Paradise Island, Bahamas (2024-25 MBB Battle 4 Atlantis)",W 90-65,200:00,35,64,6,16,14,15,90,8,32,40,24,9,7,3,16,
Gonzaga (5-1),12/07/2024,"Kentucky
@Seattle, WA",L 89-90 (1 OT),225:00,33,71,6,27,17,24,89,15,27,42,17,6,2,2,15,
Gonzaga (5-1),12/14/2024,"UConn
@New York City, NY (2024-25 MBB Hall of Fame Series - NYC)",L 71-77,200:00,25,57,6,16,15,19,71,8,26,34,13,10,4,3,17,
Gonzaga (5-1),12/18/2024 09:00 PM,Nicholls,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),12/21/2024 09:00 PM,Bucknell,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),12/28/2024 08:00 PM,"UCLA
@Inglewood, CA (2024-25 MBB West Coast Hoops Showdown)",,,,,,,,,,,,,,,,,,
Gonzaga (5-1),12/30/2024 10:00 PM,@ Pepperdine,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/02/2025 09:00 PM,Portland,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/04/2025 TBA,@ LMU (CA),,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/08/2025 09:00 PM,San Diego,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/11/2025 09:00 PM,Washington St.,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/16/2025 TBA,@ Oregon St.,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/18/2025 09:00 PM,Santa Clara,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/25/2025 08:00 PM,@ Portland,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),01/28/2025 11:00 PM,Oregon St.,,,,,,,,,,,,,,,,,,
Gonzaga (5-1),02/01/2025 TBA,@ Saint Mary's (CA),,,,,,,,,,,,,,,,,,
Gonzaga (5-1),02/06/2025 09:00 PM,LMU (CA),,,,,,,,,,,,,,,,,,
Gonzaga (5-1),02/08/2025 TBA,@ Pacific,,,,,,,,,,,,,,,,,,
